,city,region,country,lat,lon,date,temp_c,temp_f,is_day,condition_text,condition_icon,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
236,Herradura,Formosa,Argentina,-26.483,-58.3,2025-06-29,12.4,54.3,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.7,14.0,198,SSW,1019.0,30.09,0.0,0.0,100,100,11.0,51.8,9.3,48.8,11.0,51.9,9.7,49.5,10.0,6.0,0.0,13.5,21.7
237,Kuala Kedah,Kedah,Malaysia,6.1,100.3,2025-06-29,33.3,91.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.0,9.7,286,WNW,1005.0,29.68,0.0,0.0,67,25,44.1,111.4,29.4,84.9,33.7,92.7,23.5,74.3,10.0,6.0,1.0,8.2,13.2
238,Valga,Valgamaa,Estonia,57.774,26.045,2025-06-29,19.5,67.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,18.1,29.2,275,W,999.0,29.51,0.0,0.0,49,10,19.5,67.1,19.5,67.1,19.5,67.1,8.6,47.5,10.0,6.0,6.0,22.5,36.2
239,Las Eldit,Galguduud,Somalia,5.6333,46.7,2025-06-29,32.7,90.9,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,27.1,43.6,226,SW,1009.0,29.8,0.0,0.0,36,29,33.2,91.7,32.7,90.9,33.2,91.7,15.6,60.0,10.0,6.0,8.8,31.1,50.1
240,Bejucal,La Habana,Cuba,22.929,-82.389,2025-06-29,25.3,77.5,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,9.4,15.1,93,E,1019.0,30.09,0.0,0.0,100,25,28.4,83.2,25.5,78.0,28.8,83.8,23.7,74.6,8.0,4.0,0.0,17.3,27.8
241,Letpandan,Karan State,Myanmar,17.1833,97.65,2025-06-29,19.1,66.4,1,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,2.9,4.7,217,SW,1005.0,29.67,2.62,0.1,99,100,19.1,66.5,19.1,66.5,19.1,66.5,19.0,66.3,7.0,4.0,0.1,6.1,9.8
242,El Aachara,Dayr az Zawr,Syria,34.9228,40.5617,2025-06-29,41.2,106.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,16.1,25.9,271,W,996.0,29.4,0.0,0.0,8,0,41.7,107.0,41.2,106.1,41.7,107.0,-0.0,31.9,10.0,6.0,10.9,18.5,29.8
243,Ozatlan,Usulutan,El Salvador,13.383,-88.5,2025-06-29,24.1,75.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,4.5,7.2,8,N,1013.0,29.9,0.0,0.0,94,75,26.6,79.9,22.4,72.4,24.8,76.7,20.7,69.3,10.0,6.0,0.0,9.4,15.1
244,Araza,Salamat,Chad,11.1833,20.5667,2025-06-29,31.9,89.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.2,14.8,222,SW,1010.0,29.83,0.0,0.0,45,23,33.8,92.8,31.9,89.4,33.8,92.8,18.6,65.5,10.0,6.0,3.6,10.6,17.0
245,Bujumbura,Bujumbura,Burundi,-3.376,29.36,2025-06-29,27.0,80.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,8.3,13.3,190,S,1017.0,30.03,0.0,0.0,66,75,27.9,82.1,21.9,71.5,24.5,76.1,12.1,53.7,6.0,3.0,9.9,12.9,20.8
246,Straz Pod Ralskem,Plzensky kraj,Czech Republic,50.7,14.8,2025-06-29,26.7,80.0,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,8.9,14.4,315,NW,1022.0,30.17,0.0,0.0,48,44,27.1,80.8,26.7,80.0,27.1,80.8,14.7,58.5,10.0,6.0,7.1,10.9,17.6
247,Quillota,Valparaiso,Chile,-32.883,-71.267,2025-06-29,5.4,41.7,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.5,7.2,122,ESE,1027.0,30.33,0.0,0.0,93,0,3.8,38.9,5.4,41.7,6.8,44.2,3.2,37.8,10.0,6.0,0.0,8.9,14.3
248,Lacombe,Alberta,Canada,52.467,-113.733,2025-06-29,11.0,51.8,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,8.3,13.3,262,W,1019.0,30.08,0.0,0.0,82,50,9.4,48.8,5.3,41.5,7.6,45.7,5.5,42.0,14.0,8.0,0.0,17.4,28.0
249,Port Maria,Saint Mary,Jamaica,18.367,-76.9,2025-06-29,27.2,81.0,0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,12.1,19.4,90,E,1015.0,29.97,0.0,0.0,84,0,32.6,90.7,25.3,77.5,28.5,83.3,24.1,75.4,10.0,6.0,0.0,15.0,24.1
